s_det: -1.848974585533142, s_id: -1.0405325889587402, loss: 15.263532638549805, hm_loss: 2.6171088218688965, wh_loss: 0.6032052040100098, off_loss: 0.35416802763938904, id_loss: 5.000812530517578
s_det: -1.8489710092544556, s_id: -1.0404362678527832, loss: 18.704984664916992, hm_loss: 3.885676145553589, wh_loss: 0.4965478181838989, off_loss: 0.37640103697776794, id_loss: 4.559605598449707
s_det: -1.848967432975769, s_id: -1.0403389930725098, loss: 15.38889217376709, hm_loss: 3.2167229652404785, wh_loss: 0.5110336542129517, off_loss: 0.2735047936439514, id_loss: 3.946082830429077
s_det: -1.848963975906372, s_id: -1.0402421951293945, loss: 17.532957077026367, hm_loss: 3.848954916000366, wh_loss: 0.45407408475875854, off_loss: 0.3504990339279175, id_loss: 3.882298231124878
s_det: -1.848960518836975, s_id: -1.040145993232727, loss: 17.36178970336914, hm_loss: 3.589866876602173, wh_loss: 0.5889963507652283, off_loss: 0.2637382447719574, id_loss: 4.507908344268799
s_det: -1.8489570617675781, s_id: -1.0400489568710327, loss: 17.048871994018555, hm_loss: 3.474621057510376, wh_loss: 0.44469279050827026, off_loss: 0.2735452950000763, id_loss: 4.556307792663574
s_det: -1.8489537239074707, s_id: -1.039950966835022, loss: 19.80263328552246, hm_loss: 4.826042175292969, wh_loss: 0.49156561493873596, off_loss: 0.2765054404735565, id_loss: 3.4514851570129395
s_det: -1.8489502668380737, s_id: -1.0398547649383545, loss: 17.602663040161133, hm_loss: 3.912170648574829, wh_loss: 0.43687519431114197, off_loss: 0.3136393427848816, id_loss: 3.8777456283569336
s_det: -1.8489468097686768, s_id: -1.0397591590881348, loss: 24.89798927307129, hm_loss: 6.295631408691406, wh_loss: 0.4694610834121704, off_loss: 0.34040567278862, id_loss: 3.615602493286133
s_det: -1.8489432334899902, s_id: -1.039664626121521, loss: 16.10541343688965, hm_loss: 3.526108980178833, wh_loss: 0.4978844225406647, off_loss: 0.22482922673225403, id_loss: 3.8726978302001953
s_det: -1.8489396572113037, s_id: -1.0395704507827759, loss: 16.369892120361328, hm_loss: 3.4293806552886963, wh_loss: 0.5320047736167908, off_loss: 0.38832345604896545, id_loss: 3.9024477005004883
s_det: -1.8489362001419067, s_id: -1.0394766330718994, loss: 18.801034927368164, hm_loss: 4.458741664886475, wh_loss: 0.5249539017677307, off_loss: 0.3110388517379761, id_loss: 3.4848668575286865
s_det: -1.8489326238632202, s_id: -1.0393840074539185, loss: 16.929275512695312, hm_loss: 3.7650983333587646, wh_loss: 0.5053857564926147, off_loss: 0.24232520163059235, id_loss: 3.8785464763641357
s_det: -1.8489290475845337, s_id: -1.039291501045227, loss: 15.652400016784668, hm_loss: 3.3522768020629883, wh_loss: 0.4244164228439331, off_loss: 0.29223066568374634, id_loss: 3.8093295097351074
s_det: -1.8489255905151367, s_id: -1.0391993522644043, loss: 17.302494049072266, hm_loss: 3.291743755340576, wh_loss: 0.9212169647216797, off_loss: 0.3446309268474579, id_loss: 4.883708953857422
s_det: -1.8489221334457397, s_id: -1.03910493850708, loss: 22.051836013793945, hm_loss: 5.143573760986328, wh_loss: 0.7543194890022278, off_loss: 0.4049866795539856, id_loss: 3.9844024181365967
s_det: -1.8489185571670532, s_id: -1.0390106439590454, loss: 15.648694038391113, hm_loss: 3.2985379695892334, wh_loss: 0.7724382877349854, off_loss: 0.3911793828010559, id_loss: 3.6279191970825195
s_det: -1.8489151000976562, s_id: -1.0389173030853271, loss: 15.813072204589844, hm_loss: 3.456759452819824, wh_loss: 0.5769204497337341, off_loss: 0.2263735681772232, id_loss: 3.8033292293548584
s_det: -1.8489116430282593, s_id: -1.0388243198394775, loss: 19.22866439819336, hm_loss: 4.06937313079834, wh_loss: 0.5268009901046753, off_loss: 0.3462957739830017, id_loss: 4.585484027862549
s_det: -1.8489081859588623, s_id: -1.0387299060821533, loss: 15.979354858398438, hm_loss: 3.4742021560668945, wh_loss: 0.7552892565727234, off_loss: 0.3101414442062378, id_loss: 3.6540729999542236
s_det: -1.8489047288894653, s_id: -1.038636326789856, loss: 18.709484100341797, hm_loss: 4.127409934997559, wh_loss: 0.6268937587738037, off_loss: 0.350755512714386, id_loss: 4.055802345275879
s_det: -1.8489012718200684, s_id: -1.0385425090789795, loss: 17.793254852294922, hm_loss: 4.092079162597656, wh_loss: 0.37188202142715454, off_loss: 0.32808324694633484, id_loss: 3.5953242778778076
s_det: -1.8488978147506714, s_id: -1.0384496450424194, loss: 16.923545837402344, hm_loss: 3.918383836746216, wh_loss: 0.2761510908603668, off_loss: 0.28845322132110596, id_loss: 3.4811792373657227
s_det: -1.8488943576812744, s_id: -1.0383578538894653, loss: 17.255809783935547, hm_loss: 3.9947829246520996, wh_loss: 0.5421286821365356, off_loss: 0.24841289222240448, id_loss: 3.5751681327819824
s_det: -1.8488909006118774, s_id: -1.038266897201538, loss: 18.785451889038086, hm_loss: 4.329341411590576, wh_loss: 0.5518335700035095, off_loss: 0.3207980692386627, id_loss: 3.741161346435547
s_det: -1.848887324333191, s_id: -1.03817617893219, loss: 18.739580154418945, hm_loss: 3.8598804473876953, wh_loss: 0.8392956256866455, off_loss: 0.4972502589225769, id_loss: 4.303478240966797
s_det: -1.8488837480545044, s_id: -1.0380843877792358, loss: 17.87080192565918, hm_loss: 4.077184200286865, wh_loss: 0.5720236301422119, off_loss: 0.3815608024597168, id_loss: 3.5200765132904053
s_det: -1.8488801717758179, s_id: -1.0379934310913086, loss: 16.466041564941406, hm_loss: 3.6750571727752686, wh_loss: 0.4769483208656311, off_loss: 0.2788163721561432, id_loss: 3.6826705932617188
s_det: -1.8488765954971313, s_id: -1.0379029512405396, loss: 16.51176643371582, hm_loss: 3.642833948135376, wh_loss: 0.5829458236694336, off_loss: 0.3054691255092621, id_loss: 3.7040765285491943
s_det: -1.8488730192184448, s_id: -1.0378127098083496, loss: 18.335145950317383, hm_loss: 3.8033926486968994, wh_loss: 0.577491283416748, off_loss: 0.30876073241233826, id_loss: 4.628712177276611
s_det: -1.8488694429397583, s_id: -1.0377205610275269, loss: 18.669340133666992, hm_loss: 3.659313440322876, wh_loss: 0.5387192964553833, off_loss: 0.37476304173469543, id_loss: 5.05035924911499
s_det: -1.8488658666610718, s_id: -1.0376256704330444, loss: 16.017309188842773, hm_loss: 2.8018107414245605, wh_loss: 0.7864103317260742, off_loss: 0.3357800841331482, id_loss: 5.133605003356934
s_det: -1.8488624095916748, s_id: -1.037528157234192, loss: 15.925691604614258, hm_loss: 3.302213191986084, wh_loss: 0.3550296425819397, off_loss: 0.4247378706932068, id_loss: 3.8396732807159424
s_det: -1.8488589525222778, s_id: -1.0374313592910767, loss: 16.981300354003906, hm_loss: 3.9055614471435547, wh_loss: 0.4955332279205322, off_loss: 0.26610976457595825, id_loss: 3.5554311275482178
s_det: -1.8488554954528809, s_id: -1.0373358726501465, loss: 15.822029113769531, hm_loss: 3.061516046524048, wh_loss: 0.3261978030204773, off_loss: 0.274246484041214, id_loss: 4.654109001159668
s_det: -1.8488520383834839, s_id: -1.0372389554977417, loss: 16.446914672851562, hm_loss: 3.6672353744506836, wh_loss: 0.30715805292129517, off_loss: 0.2987859547138214, id_loss: 3.682744026184082
s_det: -1.848848581314087, s_id: -1.0371429920196533, loss: 17.558101654052734, hm_loss: 3.30682635307312, wh_loss: 0.7918948531150818, off_loss: 0.35335400700569153, id_loss: 5.050374507904053
s_det: -1.84884512424469, s_id: -1.0370447635650635, loss: 17.4874210357666, hm_loss: 3.8480987548828125, wh_loss: 0.35835304856300354, off_loss: 0.3762193024158478, id_loss: 3.827969551086426
s_det: -1.848841667175293, s_id: -1.036947250366211, loss: 16.763595581054688, hm_loss: 3.588502883911133, wh_loss: 0.36170658469200134, off_loss: 0.454867959022522, id_loss: 3.721864700317383
s_det: -1.848838210105896, s_id: -1.0368508100509644, loss: 16.997516632080078, hm_loss: 3.546358346939087, wh_loss: 0.36324796080589294, off_loss: 0.24177561700344086, id_loss: 4.462646484375
s_det: -1.848834753036499, s_id: -1.0367534160614014, loss: 15.77038860321045, hm_loss: 3.478475570678711, wh_loss: 0.3630155324935913, off_loss: 0.3130234181880951, id_loss: 3.5852582454681396
